"","type","title","description","time_frame","population","measure","nct_id","group_id","non_inferiority_type","p_value","p_value_desc","method","arm","param_type","param_value","ci_percent","ci_n_sides","ci_lower_limit","ci_upper_limit","non_inferiority_desc"
"1","Primary","Total Use of Analgesics","The other primary endpoint of this study is the effectiveness of analgesia from the thoracotomy and chest tube site infiltrations as measured by the overall postsurgical analgesic use, (converted to morphine equivalents).","5 days","None of the patients completed to date 5: Lost to follow-up","Total Use of AnalgesicsThe other primary endpoint of this study is the effectiveness of analgesia from the thoracotomy and chest tube site infiltrations as measured by the overall postsurgical analgesic use, (converted to morphine equivalents).None of the patients completed to date 5: Lost to follow-upParticipantsMeasure","NCT02008370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Secondary","Patient Satisfaction","Overall rating of subject satisfaction with postsurgical pain control","10 days +/- 5 days","Lost of follow-up.","Patient SatisfactionOverall rating of subject satisfaction with postsurgical pain controlLost of follow-up.ParticipantsMeasure","NCT02008370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Secondary","Pain Scores","Subject reported surgical pain (using an 11-point numeric rating scale ).","First 5 post-op days","Lost to follow up","Pain ScoresSubject reported surgical pain (using an 11-point numeric rating scale ).Lost to follow upParticipantsMeasure","NCT02008370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Primary","Post Operative Pain Control","The primary objective is to evaluate analgesia following local infiltration of 30 mL Exparel or the same volume of 0.25% bupivacaine HCl with epinephrine or normal saline. The intensity of pain will be measured using a numerical rating scale (NRS-11) in which 0 represents no pain, and 10 represents extreme pain.","up to 4 days",NA,"Post Operative Pain ControlThe primary objective is to evaluate analgesia following local infiltration of 30 mL Exparel or the same volume of 0.25% bupivacaine HCl with epinephrine or normal saline. The intensity of pain will be measured using a numerical rating scale (NRS-11) in which 0 represents no pain, and 10 represents extreme pain.score on a scaleMeanFull RangeParticipantsMeasureHour 1Hour 2Day 1Day 2Day 3Day 4","NCT02104414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Secondary","Number of Oxycodone Tablets Taken","Number of postoperative opioid consumption - oxycodone tablets (5mg each)","up to 4 days",NA,"Number of Oxycodone Tablets TakenNumber of postoperative opioid consumption - oxycodone tablets (5mg each)tabletsMeanStandard DeviationParticipantsMeasureHour 1Hour 2Day 1Day 2Day 3Day 4","NCT02104414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Secondary","Postoperative Opioid Consumption - Hydromorphone I.V",NA,"1 hour and 2 hours post op",NA,"Postoperative Opioid Consumption - Hydromorphone I.VmgMeanStandard DeviationParticipantsMeasureHour 1Hour 2","NCT02104414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Secondary","Number of Participants With Postoperative Nausea and Vomiting","Number of participants with postoperative nausea and vomiting episodes","up to 4 days",NA,"Number of Participants With Postoperative Nausea and VomitingNumber of participants with postoperative nausea and vomiting episodesParticipantsCount of ParticipantsParticipantsMeasureHour 1Hour 2Day 1Day 2Day 3Day 4","NCT02104414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Secondary","Number of Participants With Pain During Bowel Movements","Number of participants with pain during postoperative bowel movements","Hourly from PACU arrival to discharge and Q4H from 10:00-22:00 postoperatively for 4 days",NA,"Number of Participants With Pain During Bowel MovementsNumber of participants with pain during postoperative bowel movementsParticipantsCount of ParticipantsParticipantsMeasureDay 1Day 2Day 3Day 4","NCT02104414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Secondary","Number of Participants With Urinary Retention",NA,"up to 4 days",NA,"Number of Participants With Urinary RetentionParticipantsCount of ParticipantsParticipantsMeasureDay 1Day 2Day 3Day 4","NCT02104414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Primary","Cumulative Opioid Requirements for 72 Hours After Surgery","Measured in milligrams or micrograms as appropriate and converted to oral morphine equivalent daily dose. The cumulative dose of opioids administered intravenously (infused through a patient-controlled analgesia device as well as the quantity of opioids administered intravenously as rescue, if needed) and the quantity of opioids administered through oral preparations will be recorded. Such assessment will be performed at the 3rd postoperative day (72 hours of operation).","Measured from end of surgery until 72 hours after the surgery",NA,"Cumulative Opioid Requirements for 72 Hours After SurgeryMeasured in milligrams or micrograms as appropriate and converted to oral morphine equivalent daily dose. The cumulative dose of opioids administered intravenously (infused through a patient-controlled analgesia device as well as the quantity of opioids administered intravenously as rescue, if needed) and the quantity of opioids administered through oral preparations will be recorded. Such assessment will be performed at the 3rd postoperative day (72 hours of operation).mg morphine equivalents/dayMeanStandard DeviationParticipantsMeasure","NCT03541941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Primary","Cumulative Opioid Requirements at Postoperative Day 0","Measured in milligrams or micrograms as appropriate and converted to oral morphine equivalent daily dose. The cumulative dose of opioids administered intravenously (infused through a patient-controlled analgesia device as well as the quantity of opioids administered intravenously as rescue, if needed) and the quantity of opioids administered through oral preparation will be measured at postoperative day 0 (day of surgery).","From end of surgery until the end of postoperative day 0 (23:59pm of postoperative day 0)",NA,"Cumulative Opioid Requirements at Postoperative Day 0Measured in milligrams or micrograms as appropriate and converted to oral morphine equivalent daily dose. The cumulative dose of opioids administered intravenously (infused through a patient-controlled analgesia device as well as the quantity of opioids administered intravenously as rescue, if needed) and the quantity of opioids administered through oral preparation will be measured at postoperative day 0 (day of surgery).mg morphine equivalents/dayMeanStandard DeviationParticipantsMeasure","NCT03541941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Primary","Cumulative Opioid Requirements at Postoperative Day 1","Measured in milligrams or micrograms as appropriate and converted to oral morphine equivalent daily dose. Cumulative dose of opioids administered intravenously (infused through a patient-controlled analgesia device as well as the quantity of opioids administered intravenously as rescue, if needed) and the quantity of opioids administered through oral preparations, measured at postoperative day 1","From 00:00am of postoperative day 1 until (23:59pm of postoperative day 1)",NA,"Cumulative Opioid Requirements at Postoperative Day 1Measured in milligrams or micrograms as appropriate and converted to oral morphine equivalent daily dose. Cumulative dose of opioids administered intravenously (infused through a patient-controlled analgesia device as well as the quantity of opioids administered intravenously as rescue, if needed) and the quantity of opioids administered through oral preparations, measured at postoperative day 1mg morphine equivalents/dayMeanStandard DeviationParticipantsMeasure","NCT03541941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Primary","Cumulative Opioid Requirements at Postoperative Day 2","Measured in milligrams or micrograms as appropriate and converted to oral morphine equivalent daily dose. Cumulative dose of opioids administered intravenously (infused through a patient-controlled analgesia device as well as the quantity of opioids administered intravenously as rescue, if needed) and the quantity of opioids administered through oral preparations, measured at postoperative day 2","From 00:00 of postoperative day 2 until 23:59pm of postoperative day 2",NA,"Cumulative Opioid Requirements at Postoperative Day 2Measured in milligrams or micrograms as appropriate and converted to oral morphine equivalent daily dose. Cumulative dose of opioids administered intravenously (infused through a patient-controlled analgesia device as well as the quantity of opioids administered intravenously as rescue, if needed) and the quantity of opioids administered through oral preparations, measured at postoperative day 2mg morphine equivalents/dayMeanStandard DeviationParticipantsMeasure","NCT03541941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Primary","Cumulative Opioid Requirements at Postoperative Day 3","Measured in milligrams or micrograms as appropriate and converted to oral morphine equivalent daily dose. Cumulative dose of opioids administered intravenously (infused through a patient-controlled analgesia device as well as the quantity of opioids administered intravenously as rescue, if needed) and the quantity of opioids administered through oral preparations, measured at postoperative day 3","From 00:00 of postoperative day 3 until 23:59pm of postoperative day 3",NA,"Cumulative Opioid Requirements at Postoperative Day 3Measured in milligrams or micrograms as appropriate and converted to oral morphine equivalent daily dose. Cumulative dose of opioids administered intravenously (infused through a patient-controlled analgesia device as well as the quantity of opioids administered intravenously as rescue, if needed) and the quantity of opioids administered through oral preparations, measured at postoperative day 3mg morphine equivalents/dayMeanStandard DeviationParticipantsMeasure","NCT03541941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Secondary","Opioid Requirements for Total Length of Hospital Stay","Cumulative dose of opioids administered intravenously (infused through a patient-controlled analgesia device as well as the quantity of opioids administered intravenously as rescue, if needed) and the quantity of opioids administered through oral preparations administered during the entire length of hospital stay. Measured in milligrams or micrograms as appropriate and converted to oral morphine equivalent daily dose.","Measured from end of surgery until the time of hospital discharge, up to a maximum of 6 days",NA,"Opioid Requirements for Total Length of Hospital StayCumulative dose of opioids administered intravenously (infused through a patient-controlled analgesia device as well as the quantity of opioids administered intravenously as rescue, if needed) and the quantity of opioids administered through oral preparations administered during the entire length of hospital stay. Measured in milligrams or micrograms as appropriate and converted to oral morphine equivalent daily dose.mg morphine equivalents/dayMeanStandard DeviationParticipantsMeasure","NCT03541941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Secondary","Pain Scores at Postoperative Day 0","Measured using a 100mm Visual Analog Scale, at the end of the first of postoperative day 0 (day of surgery).
The scale ranges from 0mm (No pain) to 100mm (Pain as bad as it could possibly be). A paper-based version of the VAS will be used, containing a 100mm line, where the left-end (0mm) contains the sentence ""No Pain"" and in the right-end (100mm) contains the sentence ""Pain as bad as it could possibly be"". Patients will be asked to indicate on the line where the pain is in relation to the two extremes. This will be performed with a pen. Measure with a ruler will be performed from the left hand side to the mark and this will be recorded in mm. Lower values represent less pain and higher values represent more pain. There are no subscale components for this measurement.","Measured once, from end of surgery until the end of postoperative day 0 (23:59pm of the day of surgery)",NA,"Pain Scores at Postoperative Day 0Measured using a 100mm Visual Analog Scale, at the end of the first of postoperative day 0 (day of surgery).
The scale ranges from 0mm (No pain) to 100mm (Pain as bad as it could possibly be). A paper-based version of the VAS will be used, containing a 100mm line, where the left-end (0mm) contains the sentence ""No Pain"" and in the right-end (100mm) contains the sentence ""Pain as bad as it could possibly be"". Patients will be asked to indicate on the line where the pain is in relation to the two extremes. This will be performed with a pen. Measure with a ruler will be performed from the left hand side to the mark and this will be recorded in mm. Lower values represent less pain and higher values represent more pain. There are no subscale components for this measurement.score on a scaleMedianInter-Quartile RangeParticipantsMeasure","NCT03541941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
